vehicle_type,vehicle_class
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Jeepney,HEAVY
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Van,HEAVY
Van,HEAVY
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Jeepney,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,HEAVY
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Van,HEAVY
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,HEAVY
Jeepney,HEAVY
cars,LIGHT
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
cars,LIGHT
cars,LIGHT
Van,HEAVY
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,HEAVY
cars,LIGHT
Van,HEAVY
Tricycle,SMALL
cars,LIGHT
Van,HEAVY
cars,LIGHT
