vehicle_type,vehicle_class
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Van,HEAVY
Motorcycle,SMALL
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Jeepney,HEAVY
Tricycle,SMALL
cars,LIGHT
Van,HEAVY
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Tricycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Van,HEAVY
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Jeepney,HEAVY
Van,HEAVY
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Van,HEAVY
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
