vehicle type,vehicle class
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Tricycle,LIGHT
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,LIGHT
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,0
cars,LIGHT
Van,HEAVY
Truck,HEAVY
Truck,HEAVY
Truck,HEAVY
Jeepney,HEAVY
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,LIGHT
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,HEAVY
Van,HEAVY
Van,HEAVY
Van,HEAVY
Truck,HEAVY
Truck,HEAVY
Truck,HEAVY
Truck,HEAVY
Jeepney,HEAVY
Jeepney,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Tricycle,LIGHT
Tricycle,0
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,0
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Van,LIGHT
Van,HEAVY
Van,HEAVY
Van,HEAVY
Van,HEAVY
Van,HEAVY
Van,HEAVY
Truck,HEAVY
Truck,HEAVY
Truck,HEAVY
Truck,HEAVY
Jeepney,HEAVY
Jeepney,HEAVY
Van,HEAVY
cars,LIGHT
Motorcycl,0
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcylce,0
cars,LIGHT
Van,HEAVY
Motorcycle,SMALL
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
truck,HEAVY
Van,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcyle,0
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
Tricycle,SMALL
Motorcycle,SMALL
Van,HEAVY
Van,HEAVY
Van,HEAVY
Motorcycle,0
Motorcylce ,0
cars,LIGHT
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
Motorcycle,0
Motorcycle,SMALL
Motorcycle,0
Tricycle,SMALL
cars,LIGHT
Van,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Jeepney,0
Tricycle,SMALL
cars,LIGHT
truck,HEAVY
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Van,HEAVY
cars,LIGHT
cars,LIGHT
Motorcycle,0
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
truck,HEAVY
Tricycle,SMALL
Van,HEAVY
cars,LIGHT
Van,HEAVY
truck,HEAVY
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Tricycle,SMALL
Van,HEAVY
Tricycle,SMALL
Motorcycle,0
Motorcycle,0
Tricycle,SMALL
Tricycle,SMALL
cars,0
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,0
truck,0
Motorcycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,0
Motorcycle,SMALL
Jeepney,HEAVY
cars,LIGHT
Van,HEAVY
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
Tricycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Van,HEAVY
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,0
truck,HEAVY
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,0
Tricycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Jeepney,HEAVY
truck,HEAVY
Van,HEAVY
Van,HEAVY
Motorcycle,SMALL
Tricycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,0
Motorcycle,0
Motorcycle,0
Motorcycle,SMALL
Motorcycle,0
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,0
Tricycle,SMALL
Motorcycle,SMALL
cars,LIGHT
cars,LIGHT
cars,LIGHT
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Jeepney,0
truck,0
Van,HEAVY
cars,LIGHT
cars,LIGHT
Van,HEAVY
Tricycle,SMALL
cars,LIGHT
cars,LIGHT
Motorcycle,0
Motorcycle,SMALL
Motorcycle,SMALL
Motorcycle,SMALL
Tricycle,SMALL
Van,HEAVY
Motorcycle,SMALL
Jeepney,0
Van,HEAVY
